

  default power settings:


=== Benchmarking multiTask ===
[04/23/2026-11:22:15] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
Avg inference time: 9.73 ms
FPS: 102.77
Avg actual time: -9.73 ms
avg actual fps: -102.77
individual runs:
from start time: 1776914538097.90 ms
run 21 | start time: 88.59 ms | finish: 91.79
run 22 | start time: 91.79 ms | finish: 94.95
run 23 | start time: 94.95 ms | finish: 98.17
run 24 | start time: 98.17 ms | finish: 101.39
run 25 | start time: 101.39 ms | finish: 104.61
run 26 | start time: 104.61 ms | finish: 107.83
run 27 | start time: 107.83 ms | finish: 111.06
run 28 | start time: 111.06 ms | finish: 114.31
run 29 | start time: 114.31 ms | finish: 117.55
run 30 | start time: 117.55 ms | finish: 120.81
run 31 | start time: 120.81 ms | finish: 124.02
run 32 | start time: 124.02 ms | finish: 127.29
run 33 | start time: 127.29 ms | finish: 131.87
run 34 | start time: 131.87 ms | finish: 137.55
run 35 | start time: 137.55 ms | finish: 143.26
run 36 | start time: 143.26 ms | finish: 148.98
run 37 | start time: 148.98 ms | finish: 154.63
run 38 | start time: 154.63 ms | finish: 160.40
run 39 | start time: 160.40 ms | finish: 166.14
run 40 | start time: 166.14 ms | finish: 171.58
run 41 | start time: 171.58 ms | finish: 176.98
run 42 | start time: 176.98 ms | finish: 182.89
run 43 | start time: 182.89 ms | finish: 188.84
run 44 | start time: 188.84 ms | finish: 194.68
run 45 | start time: 194.68 ms | finish: 200.59
run 46 | start time: 200.59 ms | finish: 206.43
run 47 | start time: 206.43 ms | finish: 212.33
run 48 | start time: 212.33 ms | finish: 218.15
run 49 | start time: 218.15 ms | finish: 224.02
run 50 | start time: 224.02 ms | finish: 229.82
run 51 | start time: 229.82 ms | finish: 235.64
run 52 | start time: 235.64 ms | finish: 241.50
run 53 | start time: 241.50 ms | finish: 247.34
run 54 | start time: 247.34 ms | finish: 253.15
run 55 | start time: 253.15 ms | finish: 259.11
run 56 | start time: 259.11 ms | finish: 264.96
run 57 | start time: 264.96 ms | finish: 270.78
run 58 | start time: 270.78 ms | finish: 276.71
run 59 | start time: 276.71 ms | finish: 282.56
run 60 | start time: 282.56 ms | finish: 288.46
run 61 | start time: 288.46 ms | finish: 294.31
run 62 | start time: 294.31 ms | finish: 300.17
run 63 | start time: 300.17 ms | finish: 305.99
run 64 | start time: 305.99 ms | finish: 311.81
run 65 | start time: 311.81 ms | finish: 317.67
run 66 | start time: 317.67 ms | finish: 323.51
run 67 | start time: 323.51 ms | finish: 329.36
run 68 | start time: 329.36 ms | finish: 335.66
run 69 | start time: 335.66 ms | finish: 348.23
run 70 | start time: 348.23 ms | finish: 353.75
run 71 | start time: 353.75 ms | finish: 359.28
run 72 | start time: 359.28 ms | finish: 365.44
run 73 | start time: 365.44 ms | finish: 371.05
run 74 | start time: 371.05 ms | finish: 377.16
run 75 | start time: 377.16 ms | finish: 383.12
run 76 | start time: 383.12 ms | finish: 389.03
run 77 | start time: 389.03 ms | finish: 394.92
run 78 | start time: 394.92 ms | finish: 400.81
run 79 | start time: 400.81 ms | finish: 406.71
run 80 | start time: 406.71 ms | finish: 412.59
run 81 | start time: 412.59 ms | finish: 418.45
run 82 | start time: 418.45 ms | finish: 424.35
run 83 | start time: 424.35 ms | finish: 430.15
run 84 | start time: 430.15 ms | finish: 436.01
run 85 | start time: 436.01 ms | finish: 441.85
run 86 | start time: 441.85 ms | finish: 447.68
run 87 | start time: 447.68 ms | finish: 453.48
run 88 | start time: 453.48 ms | finish: 459.29
run 89 | start time: 459.29 ms | finish: 465.11
run 90 | start time: 465.11 ms | finish: 470.96
run 91 | start time: 470.96 ms | finish: 476.87
run 92 | start time: 476.87 ms | finish: 482.71
run 93 | start time: 482.71 ms | finish: 488.62
run 94 | start time: 488.62 ms | finish: 494.50
run 95 | start time: 494.50 ms | finish: 500.39
run 96 | start time: 500.39 ms | finish: 506.22
run 97 | start time: 506.22 ms | finish: 512.12
run 98 | start time: 512.12 ms | finish: 517.95
run 99 | start time: 517.95 ms | finish: 523.75
run 100 | start time: 523.75 ms | finish: 529.58

=== Benchmarking seg ===
[04/23/2026-11:22:21] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
Avg inference time: 6.33 ms
FPS: 157.87
Avg actual time: -6.33 ms
avg actual fps: -157.88
individual runs:
from start time: 1776914543059.41 ms
run 1 | start time: 0.00 ms | finish: 6.27
run 2 | start time: 6.27 ms | finish: 12.24
run 3 | start time: 12.24 ms | finish: 18.16
run 4 | start time: 18.16 ms | finish: 24.05
run 5 | start time: 24.05 ms | finish: 29.92
run 6 | start time: 29.92 ms | finish: 35.83
run 7 | start time: 35.83 ms | finish: 41.74
run 8 | start time: 41.74 ms | finish: 47.65
run 9 | start time: 47.65 ms | finish: 53.62
run 10 | start time: 53.62 ms | finish: 59.58
run 11 | start time: 59.58 ms | finish: 65.50
run 12 | start time: 65.50 ms | finish: 71.49
run 13 | start time: 71.49 ms | finish: 77.55
run 14 | start time: 77.55 ms | finish: 83.62
run 15 | start time: 83.62 ms | finish: 89.82
run 16 | start time: 89.82 ms | finish: 95.67
run 17 | start time: 95.67 ms | finish: 102.54
run 18 | start time: 102.54 ms | finish: 109.03
run 19 | start time: 109.03 ms | finish: 115.32
run 20 | start time: 115.32 ms | finish: 121.59
run 21 | start time: 121.59 ms | finish: 127.90
run 22 | start time: 127.90 ms | finish: 134.24
run 23 | start time: 134.24 ms | finish: 140.46
run 24 | start time: 140.46 ms | finish: 146.72
run 25 | start time: 146.72 ms | finish: 152.99
run 26 | start time: 152.99 ms | finish: 159.31
run 27 | start time: 159.31 ms | finish: 165.62
run 28 | start time: 165.62 ms | finish: 171.88
run 29 | start time: 171.88 ms | finish: 178.27
run 30 | start time: 178.27 ms | finish: 184.57
run 31 | start time: 184.57 ms | finish: 190.85
run 32 | start time: 190.85 ms | finish: 197.12
run 33 | start time: 197.12 ms | finish: 203.35
run 34 | start time: 203.35 ms | finish: 209.69
run 35 | start time: 209.69 ms | finish: 216.05
run 36 | start time: 216.05 ms | finish: 222.35
run 37 | start time: 222.35 ms | finish: 228.63
run 38 | start time: 228.63 ms | finish: 234.95
run 39 | start time: 234.95 ms | finish: 241.22
run 40 | start time: 241.22 ms | finish: 247.47
run 41 | start time: 247.47 ms | finish: 253.83
run 42 | start time: 253.83 ms | finish: 260.05
run 43 | start time: 260.05 ms | finish: 266.36
